day,calls,day_of_week,month,year,holiday
2021-01-01,78,4,1,2021,False
2021-01-02,68,5,1,2021,False
2021-01-03,54,6,1,2021,False
2021-01-04,47,0,1,2021,False
2021-01-05,60,1,1,2021,False
2021-01-06,78,2,1,2021,False
2021-01-07,58,3,1,2021,False
2021-01-08,62,4,1,2021,False
2021-01-09,50,5,1,2021,False
2021-01-10,50,6,1,2021,False
2021-01-11,63,0,1,2021,False
2021-01-12,75,1,1,2021,False
2021-01-13,79,2,1,2021,False
2021-01-14,63,3,1,2021,False
2021-01-15,42,4,1,2021,False
2021-01-16,61,5,1,2021,False
2021-01-17,41,6,1,2021,False
2021-01-18,63,0,1,2021,False
2021-01-19,69,1,1,2021,False
2021-01-20,77,2,1,2021,False
2021-01-21,41,3,1,2021,False
2021-01-22,60,4,1,2021,False
2021-01-23,72,5,1,2021,False
2021-01-24,51,6,1,2021,False
2021-01-25,61,0,1,2021,False
2021-01-26,64,1,1,2021,False
2021-01-27,66,2,1,2021,False
2021-01-28,67,3,1,2021,False
2021-01-29,55,4,1,2021,False
2021-01-30,54,5,1,2021,False
2021-01-31,42,6,1,2021,False
2021-02-01,76,0,2,2021,False
2021-02-02,46,1,2,2021,False
2021-02-03,60,2,2,2021,False
2021-02-04,48,3,2,2021,False
2021-02-05,78,4,2,2021,False
2021-02-06,57,5,2,2021,False
2021-02-07,43,6,2,2021,False
2021-02-08,64,0,2,2021,False
2021-02-09,53,1,2,2021,False
2021-02-10,48,2,2,2021,False
2021-02-11,65,3,2,2021,False
2021-02-12,41,4,2,2021,False
2021-02-13,59,5,2,2021,False
2021-02-14,67,6,2,2021,False
2021-02-15,46,0,2,2021,False
2021-02-16,47,1,2,2021,False
2021-02-17,74,2,2,2021,False
2021-02-18,53,3,2,2021,False
2021-02-19,56,4,2,2021,False
2021-02-20,75,5,2,2021,False
2021-02-21,79,6,2,2021,False
2021-02-22,43,0,2,2021,False
2021-02-23,41,1,2,2021,False
2021-02-24,45,2,2,2021,False
2021-02-25,43,3,2,2021,False
2021-02-26,68,4,2,2021,False
2021-02-27,57,5,2,2021,False
2021-02-28,65,6,2,2021,False
2021-03-01,73,0,3,2021,False
2021-03-02,49,1,3,2021,False
2021-03-03,75,2,3,2021,False
2021-03-04,53,3,3,2021,False
2021-03-05,70,4,3,2021,False
2021-03-06,54,5,3,2021,False
2021-03-07,47,6,3,2021,False
2021-03-08,53,0,3,2021,False
2021-03-09,62,1,3,2021,False
2021-03-10,79,2,3,2021,False
2021-03-11,60,3,3,2021,False
2021-03-12,55,4,3,2021,False
2021-03-13,57,5,3,2021,False
2021-03-14,63,6,3,2021,False
2021-03-15,65,0,3,2021,False
2021-03-16,64,1,3,2021,False
2021-03-17,68,2,3,2021,False
2021-03-18,54,3,3,2021,False
2021-03-19,40,4,3,2021,True
2021-03-20,64,5,3,2021,False
2021-03-21,46,6,3,2021,False
2021-03-22,48,0,3,2021,False
2021-03-23,63,1,3,2021,False
2021-03-24,40,2,3,2021,False
2021-03-25,47,3,3,2021,False
2021-03-26,63,4,3,2021,False
2021-03-27,50,5,3,2021,False
2021-03-28,56,6,3,2021,False
2021-03-29,47,0,3,2021,False
2021-03-30,74,1,3,2021,False
2021-03-31,74,2,3,2021,False
2021-04-01,72,3,4,2021,False
2021-04-02,44,4,4,2021,False
2021-04-03,78,5,4,2021,False
2021-04-04,67,6,4,2021,False
2021-04-05,46,0,4,2021,False
2021-04-06,48,1,4,2021,False
2021-04-07,47,2,4,2021,False
2021-04-08,51,3,4,2021,False
2021-04-09,73,4,4,2021,False
2021-04-10,72,5,4,2021,False
2021-04-11,62,6,4,2021,False
2021-04-12,63,0,4,2021,False
2021-04-13,76,1,4,2021,False
2021-04-14,74,2,4,2021,False
2021-04-15,79,3,4,2021,False
2021-04-16,61,4,4,2021,True
2021-04-17,66,5,4,2021,False
2021-04-18,74,6,4,2021,False
2021-04-19,40,0,4,2021,False
2021-04-20,74,1,4,2021,False
2021-04-21,76,2,4,2021,False
2021-04-22,53,3,4,2021,False
2021-04-23,42,4,4,2021,False
2021-04-24,40,5,4,2021,False
2021-04-25,44,6,4,2021,False
2021-04-26,65,0,4,2021,False
2021-04-27,53,1,4,2021,False
2021-04-28,78,2,4,2021,False
2021-04-29,66,3,4,2021,False
2021-04-30,48,4,4,2021,False
2021-05-01,54,5,5,2021,False
2021-05-02,54,6,5,2021,False
2021-05-03,65,0,5,2021,False
2021-05-04,52,1,5,2021,False
2021-05-05,71,2,5,2021,False
2021-05-06,78,3,5,2021,False
