customer_id,frequency_of_purchases,avg_purchase_value,num_products_purchased,days_since_last_purchase
1,39,301.6572996110515,10,221
2,29,266.1180196210438,5,234
3,15,35.637109546990295,7,73
4,43,292.3596272067988,5,95
5,8,558.4302503794921,15,95
6,21,11.585175673538538,19,243
7,39,290.3868929715708,10,293
8,19,882.5962290000175,8,263
9,23,597.7120992562873,9,124
10,11,611.7841958401707,11,288
11,11,409.3306619760897,2,267
12,24,679.707422057487,3,109
13,36,198.03343856805557,13,348
14,40,820.5593422803497,11,48
15,24,125.52222873654081,10,301
16,3,659.4413411065782,15,95
17,22,347.73783256148624,6,33
18,2,750.037840876652,1,118
19,24,554.2669057533598,14,132
20,44,457.82950809392906,18,251
21,30,177.72817807231453,11,303
22,38,640.4532496415093,8,122
23,2,975.0221449862089,3,218
24,21,827.3473906579449,14,53
25,33,69.40811066312168,2,126
26,12,382.46708457757916,16,159
27,22,926.3271790983691,6,159
28,44,508.0133100814512,1,283
29,25,665.4907075500973,14,89
30,49,913.4733521354765,10,176
31,27,875.0567435156819,6,292
32,42,506.8021717851058,9,159
33,28,443.26983963102606,7,249
34,16,346.2956922947912,2,357
35,15,721.8292487312622,11,122
36,47,294.11693147682786,14,237
37,44,257.3887303665911,5,125
38,3,362.6873956577423,9,315
39,37,185.4429063100041,7,279
40,7,698.1686177863097,14,355
41,21,620.0782428373062,16,324
42,9,488.04974877468516,16,92
43,39,396.4225214689391,7,105
44,18,909.9719174677642,10,42
45,4,38.83254713921423,6,129
46,25,771.4166660722261,17,53
47,14,902.8904760313999,1,168
48,9,451.8910336356267,2,90
49,26,555.1835865559403,14,247
50,2,945.0190510032176,4,174
51,20,220.15474013265927,9,87
52,28,524.933499306838,6,150
53,47,479.9739158569308,17,249
54,7,265.8087213916664,11,115
55,44,820.4072980693769,4,180
56,8,900.6045888156035,9,120
57,47,784.1132539903267,16,28
58,35,203.4053712401223,3,309
59,14,95.88114914636775,4,117
60,17,609.3900404522889,3,191
61,36,66.5238129047851,13,145
62,40,676.0976296725033,19,320
63,4,535.1199781239702,1,262
64,2,666.157875416227,6,142
65,6,594.2690659132465,3,114
66,42,428.47554383190106,3,273
67,4,208.868408338826,16,38
68,29,312.64511445238367,10,197
69,18,529.2555684767867,17,13
70,26,655.3494127111298,7,112
71,44,781.6881867156832,13,137
72,34,769.4990112645702,11,172
73,10,972.9618558284745,10,127
74,36,292.98303417677533,7,362
75,14,80.39960113130242,6,333
76,31,352.2003661864407,1,19
77,48,745.8615304718359,17,208
78,15,443.7305345229622,12,158
79,8,819.6105462835252,4,160
80,14,553.8331015341548,3,334
81,23,930.493805404198,6,240
82,40,948.3848075790781,16,79
83,21,78.61146095856122,13,332
84,16,461.84930531530006,9,357
85,45,613.5921706370723,11,331
86,18,263.31381540409063,13,197
87,47,413.00601158519044,19,120
88,24,680.9047257065213,3,248
89,26,234.4668846293778,12,139
90,25,605.9615394447079,19,226
91,45,700.473349882663,8,83
92,41,99.59134798490808,14,26
93,29,502.5540228671782,9,128
94,15,270.4492296249489,17,223
95,45,727.1424924380641,6,339
96,1,197.65995345157108,4,44
97,25,893.3155363827253,4,84
98,7,436.63192315314365,19,25
99,9,206.02300000447798,12,220
100,24,443.64157838682604,2,293
101,1,414.6563251804426,17,204
102,44,434.6297698987732,15,193
103,8,589.7056805624725,10,2
104,24,525.9619876644022,3,202
105,11,158.27936036409366,4,354
106,17,74.92328192016996,1,32
107,8,732.1212942392751,1,89
108,35,564.1202615690303,18,202
109,35,365.4107603984711,4,178
110,33,810.2742442730931,15,193
111,5,394.1778895183474,10,160
112,42,798.0054387046015,17,293
113,39,312.69856623725093,12,204
114,41,82.11684456974776,12,241
115,28,933.3132968619298,16,115
116,7,400.6056179885594,5,210
117,9,794.7656471208841,16,222
118,8,286.3526918900814,17,182
119,12,649.9014610024194,15,259
120,34,874.577764525151,13,40
121,33,51.22758211658052,8,330
122,48,832.3294070392284,2,322
123,23,575.6196749222094,8,60
124,24,611.3970363694835,10,11
125,37,527.9264207979228,7,120
126,35,875.730352250806,10,42
127,44,52.999023663281086,4,190
128,40,268.41810762048965,11,123
129,22,877.0049134705638,9,189
130,27,754.8222455066365,4,252
131,35,27.468708576819786,3,92
132,1,521.8362203776115,11,213
133,35,534.2769539055481,3,318
134,37,406.8733137766313,18,202
135,47,304.41939874136983,19,268
136,14,684.9076019082187,14,155
137,3,215.71256005770627,11,195
138,1,800.959076450989,2,28
139,5,805.0067891597971,2,194
140,26,421.1088231970923,2,223
141,14,290.7125308005512,10,107
