customer_id,frequency_of_purchases,avg_purchase_value,preferred_channel,customer_support_tickets,inventory_demand
1,39,301.6572996110515,1,10,76
2,29,266.1180196210438,2,8,80
3,15,35.637109546990295,1,15,52
4,43,292.3596272067988,0,10,63
5,8,558.4302503794921,0,1,84
6,21,11.585175673538538,0,7,54
7,39,290.3868929715708,1,4,10
8,19,882.5962290000175,0,10,87
9,23,597.7120992562873,2,10,94
10,11,611.7841958401707,0,8,59
11,11,409.3306619760897,0,10,8
12,24,679.707422057487,0,4,51
13,36,198.03343856805557,0,8,5
14,40,820.5593422803497,1,0,76
15,24,125.52222873654081,2,9,42
16,3,659.4413411065782,0,7,78
17,22,347.73783256148624,0,18,12
18,2,750.037840876652,2,15,24
19,24,554.2669057533598,1,12,45
20,44,457.82950809392906,2,4,53
21,30,177.72817807231453,0,17,53
22,38,640.4532496415093,0,8,17
23,2,975.0221449862089,0,3,65
24,21,827.3473906579449,0,13,58
25,33,69.40811066312168,1,6,37
26,12,382.46708457757916,0,11,75
27,22,926.3271790983691,1,6,42
28,44,508.0133100814512,0,10,70
29,25,665.4907075500973,2,14,79
30,49,913.4733521354765,0,6,40
31,27,875.0567435156819,0,19,23
32,42,506.8021717851058,1,16,23
33,28,443.26983963102606,0,4,49
34,16,346.2956922947912,0,7,76
35,15,721.8292487312622,0,9,7
36,47,294.11693147682786,2,5,37
37,44,257.3887303665911,1,1,16
38,3,362.6873956577423,1,4,38
39,37,185.4429063100041,2,9,99
40,7,698.1686177863097,2,2,40
41,21,620.0782428373062,1,12,29
42,9,488.04974877468516,1,15,17
43,39,396.4225214689391,1,14,90
44,18,909.9719174677642,0,1,20
45,4,38.83254713921423,2,2,25
46,25,771.4166660722261,1,19,60
47,14,902.8904760313999,0,17,38
48,9,451.8910336356267,0,19,63
49,26,555.1835865559403,0,19,39
50,2,945.0190510032176,0,14,64
51,20,220.15474013265927,0,4,83
52,28,524.933499306838,0,10,21
53,47,479.9739158569308,0,2,32
54,7,265.8087213916664,1,8,28
55,44,820.4072980693769,0,6,12
56,8,900.6045888156035,0,1,79
57,47,784.1132539903267,0,14,92
58,35,203.4053712401223,2,11,85
59,14,95.88114914636775,0,15,80
60,17,609.3900404522889,0,15,23
61,36,66.5238129047851,1,15,90
62,40,676.0976296725033,0,18,15
63,4,535.1199781239702,0,2,12
64,2,666.157875416227,0,19,4
65,6,594.2690659132465,1,3,35
66,42,428.47554383190106,1,0,95
67,4,208.868408338826,1,7,61
68,29,312.64511445238367,0,14,27
69,18,529.2555684767867,1,4,96
70,26,655.3494127111298,0,19,33
71,44,781.6881867156832,0,11,13
72,34,769.4990112645702,0,19,37
73,10,972.9618558284745,1,19,44
74,36,292.98303417677533,0,3,2
75,14,80.39960113130242,1,14,38
76,31,352.2003661864407,2,5,37
77,48,745.8615304718359,0,4,59
78,15,443.7305345229622,0,10,69
79,8,819.6105462835252,0,13,18
80,14,553.8331015341548,0,10,48
81,23,930.493805404198,0,8,81
82,40,948.3848075790781,2,9,66
83,21,78.61146095856122,0,5,49
84,16,461.84930531530006,1,10,58
85,45,613.5921706370723,0,8,35
86,18,263.31381540409063,2,4,78
87,47,413.00601158519044,2,9,76
88,24,680.9047257065213,1,19,58
89,26,234.4668846293778,2,13,97
90,25,605.9615394447079,0,5,7
91,45,700.473349882663,0,3,9
92,41,99.59134798490808,1,9,69
93,29,502.5540228671782,1,10,4
94,15,270.4492296249489,2,15,32
95,45,727.1424924380641,0,6,5
96,1,197.65995345157108,0,17,56
97,25,893.3155363827253,0,6,56
98,7,436.63192315314365,2,14,44
99,9,206.02300000447798,2,18,72
100,24,443.64157838682604,1,17,13
101,1,414.6563251804426,1,14,4
102,44,434.6297698987732,1,17,52
103,8,589.7056805624725,1,2,75
104,24,525.9619876644022,0,0,15
105,11,158.27936036409366,1,0,82
106,17,74.92328192016996,0,6,84
107,8,732.1212942392751,1,9,1
108,35,564.1202615690303,0,11,65
109,35,365.4107603984711,1,7,11
110,33,810.2742442730931,2,16,93
111,5,394.1778895183474,1,13,61
112,42,798.0054387046015,1,16,93
113,39,312.69856623725093,1,5,88
114,41,82.11684456974776,1,19,84
115,28,933.3132968619298,0,16,94
116,7,400.6056179885594,1,19,63
117,9,794.7656471208841,0,7,38
118,8,286.3526918900814,1,12,69
119,12,649.9014610024194,1,15,45
120,34,874.577764525151,1,11,74
121,33,51.22758211658052,1,16,70
122,48,832.3294070392284,1,17,68
123,23,575.6196749222094,2,7,4
124,24,611.3970363694835,0,17,71
125,37,527.9264207979228,2,10,48
126,35,875.730352250806,1,12,97
127,44,52.999023663281086,0,11,9
128,40,268.41810762048965,2,14,90
129,22,877.0049134705638,1,2,47
130,27,754.8222455066365,2,2,85
131,35,27.468708576819786,1,5,60
132,1,521.8362203776115,0,2,52
133,35,534.2769539055481,0,8,86
134,37,406.8733137766313,1,10,33
135,47,304.41939874136983,2,7,58
136,14,684.9076019082187,1,3,97
137,3,215.71256005770627,0,19,48
138,1,800.959076450989,1,14,5
139,5,805.0067891597971,1,4,85
140,26,421.1088231970923,0,6,27
141,14,290.7125308005512,0,7,41
142,39,291.0393997748061,0,6,1
143,27,487.46841075624803,0,7,51
144,9,722.3834325018652,0,3,16
145,15,365.2800040839202,0,0,99
146,15,613.942912003174,2,4,32
147,26,388.6596159767684,0,10,93
148,42,311.47795725986947,0,3,47
149,13,34.61092075663622,0,1,23
150,32,13.874964678036733,0,16,15
151,39,234.93560105368442,1,11,26
152,49,412.34222393298546,0,1,37
153,32,852.7485556884396,1,8,89
154,4,800.4994005011212,1,5,55
155,30,274.49360996211,0,5,2
156,37,252.09503855445635,1,17,76
157,23,235.04885035932716,1,2,19
158,39,345.84496712357833,0,14,32
159,45,503.2167323660685,1,6,87
160,15,444.2810943112597,2,12,69
161,43,226.09046679367881,1,9,55
162,29,139.14689584418184,0,3,89
163,36,22.452034361333432,2,15,99
164,13,162.42360627983882,0,8,56
165,32,708.3028064921771,0,9,29
166,7,251.2021836521271,0,18,84
167,22,473.9157920202947,1,16,36
168,28,595.3881374340123,2,0,71
169,2,887.9724938032911,0,12,86
170,42,889.9665474094853,0,3,82
171,45,748.2763963445453,1,14,53
172,6,44.80542212801641,2,9,85
173,28,579.3197148945608,0,19,86
174,28,788.7176361231914,2,8,39
175,44,27.115164315729576,0,7,76
176,44,554.1877675200125,1,19,11
177,20,859.1865043281691,1,5,76
178,30,479.3610550838443,0,9,90
179,11,14.065140868473968,1,19,30
180,28,20.903224752251383,2,16,79
181,25,422.46967703961303,0,4,72
182,39,163.45858074258703,0,13,53
183,33,667.806150522327,0,16,82
184,1,711.7112722570924,0,10,74
185,27,186.1009975060223,1,3,8
186,13,889.6479556392401,0,16,99
187,41,447.4887665291366,1,1,20
188,3,151.4174485160045,0,0,12
189,39,766.6090820887015,2,17,67
190,6,792.0747550166051,0,6,84
191,8,642.9025179388029,0,5,50
192,27,854.9308976705275,0,5,12
193,9,739.9992423103646,2,13,54
194,37,883.3836798547206,0,11,88
195,33,439.54916800062466,0,13,80
196,42,750.1211568184481,2,13,54
197,44,999.7540477947539,2,11,74
198,24,727.681885544423,2,8,19
199,15,123.04194243476084,0,8,14
200,32,523.1355352048912,0,1,52
201,32,591.4743133305976,1,17,78
202,24,182.46856832067706,0,4,22
203,41,963.2627178362573,0,11,4
204,49,183.82397985827012,0,13,59
205,49,185.78234051609053,2,12,34
206,12,916.0154665948094,0,2,64
207,39,470.55337879045436,1,14,18
208,2,72.55639648177103,0,14,98
209,3,602.2056249391433,1,2,82
210,49,605.8080851467174,1,19,31
211,37,73.85575109969618,0,18,84
212,49,972.7972706773254,0,14,42
213,17,548.5896656416298,1,18,74
214,49,564.1977649579666,0,7,3
215,2,524.9142603573706,1,12,85
216,2,614.6244618481738,1,9,55
217,28,271.6567552460174,1,1,10
218,23,294.3689344950924,0,10,71
219,37,516.2256988981715,0,18,22
220,32,808.6189962159438,1,8,23
221,33,59.36593072923707,0,8,76
222,1,607.3701700980436,2,5,13
223,19,808.7103610812509,2,9,40
224,2,165.3480993168549,0,7,13
225,44,24.87231656076063,0,14,97
226,26,319.58616219004347,0,5,95
227,32,592.2622696623022,2,6,51
228,6,146.90034167070024,0,19,64
229,32,431.86114726276065,0,16,92
230,4,556.7982824005352,1,3,83
231,11,602.894263809744,0,7,85
232,17,281.6676037903714,0,12,96
233,38,406.02933962642845,0,13,90
234,24,780.5558367768831,1,17,13
235,5,941.8025471794787,0,16,29
236,34,863.2615278070747,1,17,71
237,6,568.6406667160976,2,13,47
238,22,416.1898749145071,1,10,26
239,11,339.62704822770405,1,9,70
240,48,133.70700042317787,0,12,96
241,16,115.48573474395185,0,19,23
242,33,691.4740486645211,0,15,75
243,9,267.19647200944877,1,13,56
244,6,262.1150695681223,0,2,85
245,16,998.2131039330078,0,17,19
246,29,196.04669829505744,0,5,98
247,3,156.57916189394135,0,19,50
248,20,107.69837548232141,1,2,35
249,36,584.0072917151282,1,18,49
250,19,631.5851877420804,0,2,95
251,26,371.5756469943131,1,11,46
252,3,540.0592021563531,0,7,93
253,19,790.5155356354634,1,4,70
254,20,819.9231266385309,2,16,53
255,32,958.3329549584918,0,9,31
256,7,826.0253060636458,0,16,96
257,41,569.1930223502524,1,8,84
258,33,187.86039617847752,2,12,22
259,40,108.76592212581397,1,9,67
260,39,63.96677101175061,2,7,8
261,18,669.8605734675299,1,6,19
262,40,809.4608928440132,1,1,31
263,1,513.5971111772383,1,1,32
264,11,64.16703308530353,0,3,79
265,28,540.1158688454248,1,8,55
266,25,936.3917689093049,1,13,31
267,23,601.6370590231359,1,10,67
268,31,811.3332135781867,0,6,51
269,30,802.151121907833,0,18,96
270,42,932.8078087828463,1,3,74
271,35,772.5264779933746,1,1,92
272,7,750.2235088729586,2,18,27
273,16,241.76163832093417,0,17,48
274,26,69.32590376787064,0,6,43
275,48,522.4234704032697,0,10,95
276,49,133.18986586728764,1,9,51
277,2,962.5739175152114,0,10,98
278,1,297.0255150066983,2,8,69
279,48,854.4147613504501,0,2,75
280,12,393.74837895043476,2,4,71
281,5,329.9623073588037,1,0,72
282,37,935.8069866528549,2,0,81
283,32,369.68934636536176,0,19,50
284,9,396.3850295765051,1,4,61
285,41,115.03086181678007,0,18,41
286,35,673.7421986296843,0,5,51
287,19,295.9510203327384,0,2,78
288,48,589.7481261611122,1,12,24
289,16,595.4381870126774,0,16,30
290,3,722.0076986398094,2,2,52
291,20,747.7890713107168,0,2,50
292,24,519.307910057524,0,12,57
293,33,337.682028127369,0,1,62
294,24,839.0763858863866,1,2,79
295,11,316.76699291439985,0,19,53
296,49,512.4340035246381,2,15,68
297,8,407.24005737169074,1,11,77
298,36,856.5276021099912,2,8,69
299,38,437.5993458343705,0,15,31
300,40,392.23819694910947,0,3,76
301,20,692.925455968661,1,19,30
302,35,606.4166987628283,2,17,10
303,48,116.17436516088762,0,0,94
304,25,513.0871182805236,2,6,90
305,35,738.1236044499152,0,19,44
306,25,992.1540169454427,1,11,6
307,29,632.8553656306159,0,7,27
308,18,376.59013577690456,0,7,20
309,46,233.89008380409723,0,8,92
310,18,874.101931811787,2,13,20
311,2,816.4195599923677,2,19,12
312,35,241.58359257159103,0,4,85
313,16,208.62576924510773,2,19,94
314,41,717.9854090430639,1,1,49
315,36,321.8025412995719,1,9,52
316,33,313.33481037833826,0,8,10
317,4,160.76734459697872,1,6,5
318,33,271.3357645127316,0,17,64
319,14,433.2324820167231,0,11,58
320,21,735.5099538996914,1,10,8
321,48,342.94501346961226,2,9,30
322,20,335.31829608504427,1,12,17
323,8,292.06412002691144,2,8,67
324,7,483.50083083593256,2,15,21
325,3,188.83033096190215,0,16,16
326,17,490.77442669180425,0,4,96
327,33,707.1338006327429,1,5,27
328,48,39.49259899229595,2,9,6
329,12,19.681586502704246,2,10,42
330,22,84.37168105296414,1,1,16
331,22,540.303461110831,1,6,45
332,46,855.9105323535493,1,13,3
333,30,14.835621360049423,0,3,40
